pages_viewed,session_minutes,products_viewed,cart_additions,discount_seen,previous_orders,target
32,32.02,1,2,4,1,0
31,39.04,6,2,2,2,1
30,57.8,0,2,4,1,0
58,47.68,6,5,6,3,1
27,32.77,4,2,6,1,1
20,52.59,3,4,6,6,0
51,56.64,4,0,3,2,0
45,59.33,5,5,2,3,0
46,62.74,4,3,5,1,1
33,34.56,3,2,7,8,1
34,27.0,5,0,1,3,1
32,2.0,6,5,4,2,1
25,53.01,5,3,2,7,0
48,46.21,0,4,3,1,0
24,48.77,2,3,2,2,0
33,63.92,1,1,5,2,1
24,44.87,3,1,5,3,1
38,19.93,4,4,6,1,1
21,64.21,4,1,2,3,0
57,43.84,2,3,1,2,0
20,56.88,1,2,3,2,0
37,56.88,4,0,1,4,0
24,57.0,4,2,4,5,0
33,43.4,4,6,3,2,0
23,57.53,2,5,2,5,0
21,37.61,4,2,1,4,0
63,49.72,1,4,3,6,0
34,11.29,2,2,6,5,0
28,45.24,1,0,2,6,0
30,50.74,5,2,5,1,1
21,36.24,2,3,0,2,0
43,2.0,2,5,2,4,0
58,25.81,5,2,2,3,1
53,12.55,2,6,2,4,0
56,55.69,6,7,1,5,0
60,38.14,3,2,2,5,1
56,24.04,1,3,2,1,0
23,32.85,5,2,4,2,0
54,17.85,3,4,1,2,1
62,5.88,3,1,4,9,1
37,13.32,2,1,5,1,1
47,46.33,2,1,3,6,0
27,22.61,2,3,3,1,0
18,41.35,0,1,2,2,0
45,29.02,0,0,0,1,1
28,21.87,4,3,5,1,1
39,8.74,5,1,1,4,1
39,56.46,5,4,4,0,1
49,10.24,2,4,1,2,0
29,29.34,3,3,3,3,0
60,69.85,3,6,4,1,0
41,37.38,4,1,3,2,1
35,44.2,7,4,1,3,0
53,38.84,3,4,4,3,1
24,44.16,0,2,4,3,0
27,52.01,4,3,5,4,0
52,35.39,4,6,2,2,1
59,54.63,3,2,3,2,1
31,2.0,1,3,3,1,0
46,29.91,6,0,5,6,1
34,25.94,3,3,3,6,1
37,33.17,1,2,1,1,1
50,28.64,3,4,1,2,0
39,19.71,3,4,4,1,0
59,29.36,7,1,0,3,1
48,24.59,3,3,3,1,1
61,48.79,1,0,5,3,1
38,47.89,2,5,4,5,1
63,29.05,1,4,2,1,1
63,24.6,4,4,2,4,1
46,37.8,4,4,3,5,0
33,51.49,1,3,1,1,0
24,39.75,4,0,3,3,1
51,29.18,2,5,2,2,1
27,40.37,4,3,5,0,0
25,18.31,3,0,2,5,0
47,56.07,8,4,3,2,1
39,21.46,3,4,1,5,0
27,54.92,1,7,1,3,0
44,47.69,1,2,0,4,0
52,44.73,3,2,6,2,1
20,50.85,2,3,3,4,0
47,12.66,3,1,6,3,1
20,60.91,1,3,2,1,1
28,54.34,1,2,2,4,1
65,82.11,3,1,4,2,0
18,23.71,4,3,1,2,1
31,40.77,5,3,2,3,0
33,50.8,8,3,6,0,1
31,23.07,2,4,4,5,0
37,27.02,5,2,6,5,1
54,45.41,1,3,7,2,1
52,60.05,4,3,0,6,1
65,41.54,0,2,4,7,1
55,80.53,6,4,1,1,1
40,46.44,4,4,2,6,0
26,33.89,1,1,1,1,0
54,2.0,1,5,1,4,0
65,38.54,4,5,3,2,1
18,13.14,1,2,4,3,0
47,55.11,5,1,2,6,1
56,67.96,2,4,7,2,1
42,47.43,3,2,5,0,0
21,34.54,6,1,3,5,0
44,22.02,7,4,4,1,1
50,45.56,4,4,4,1,1
43,44.14,3,2,2,1,1
59,51.6,2,3,2,4,1
40,33.17,7,2,4,4,1
34,2.0,4,6,1,0,0
26,26.75,2,6,2,3,0
33,50.3,3,0,6,2,1
63,46.88,4,3,5,5,0
30,11.21,4,3,3,2,0
21,69.45,2,1,3,0,0
20,49.44,3,6,3,3,0
42,19.77,3,3,2,3,1
40,41.96,5,2,1,3,1
64,24.61,2,2,2,3,0
45,47.29,6,4,4,7,1
55,70.62,4,1,0,2,0
30,62.24,1,3,5,2,1
58,52.22,5,4,2,2,1
31,48.57,3,2,3,2,0
35,61.86,4,1,3,3,0
28,35.5,7,5,2,2,0
34,29.37,5,5,3,3,0
36,34.9,3,3,1,4,0
31,25.3,2,3,2,1,0
31,39.4,2,2,3,3,0
25,22.76,3,1,4,1,0
27,27.52,4,3,2,1,0
35,47.89,7,2,2,4,1
40,50.03,5,4,3,1,1
36,27.14,2,4,4,4,0
47,32.38,2,1,5,3,1
18,53.22,2,3,5,2,1
49,44.55,1,5,3,4,0
40,9.72,3,2,2,4,1
18,15.86,1,0,5,3,1
37,24.58,5,1,5,3,1
62,16.77,4,2,4,4,1
24,39.97,5,5,2,1,0
59,71.4,4,1,5,3,1
19,14.29,5,2,5,1,1
21,47.94,5,4,5,3,0
63,29.47,4,6,5,4,1
37,57.89,1,4,1,2,0
52,12.36,3,1,4,3,0
34,22.37,4,4,0,3,1
21,36.9,4,3,2,2,0
38,49.47,1,4,2,2,0
36,30.51,1,0,3,3,0
43,29.45,2,3,3,4,0
45,50.18,1,2,4,3,0
31,7.12,3,1,4,4,1
53,27.69,5,4,2,1,0
37,41.07,1,7,4,5,0
51,38.37,3,5,0,2,0
57,36.07,6,0,0,2,1
61,37.72,2,5,2,5,1
56,43.43,4,3,2,2,1
19,13.33,5,1,1,2,1
29,10.6,3,0,3,3,0
45,34.53,1,1,3,2,1
35,16.3,4,3,2,3,1
33,41.41,3,3,7,1,1
49,24.26,7,4,2,1,1
35,6.69,4,4,4,4,1
21,28.37,4,5,2,4,0
29,28.76,4,4,2,5,0
50,30.97,0,0,1,4,1
33,60.51,1,7,5,3,0
44,17.18,4,1,4,3,1
64,37.24,1,3,3,1,1
43,22.62,3,4,2,2,1
38,37.09,1,0,3,2,1
50,59.43,2,5,5,2,0
59,77.01,4,5,2,2,0
20,24.59,4,5,3,1,0
53,36.4,1,1,2,5,0
54,38.1,2,1,3,3,0
46,29.1,3,4,2,6,1
40,27.93,4,1,3,7,0
48,2.0,3,4,3,1,1
53,32.54,3,5,3,2,0
27,60.31,3,0,7,2,1
38,23.44,3,3,0,2,0
25,37.74,5,3,2,1,1
52,7.37,1,4,2,4,0
36,37.65,2,4,1,7,0
32,53.68,3,3,2,2,0
21,46.52,7,3,5,3,1
62,30.61,8,0,2,1,1
54,16.45,2,4,4,6,1
30,37.49,5,5,2,6,0
46,46.83,3,6,4,3,1
30,27.48,5,7,1,1,0
33,27.84,4,3,2,1,1
47,59.36,2,4,7,5,1
59,55.91,2,2,4,4,1
19,31.63,3,4,5,2,0
46,48.16,3,3,5,1,1
33,19.0,0,4,3,8,1
32,63.97,3,3,1,7,0
53,20.81,2,5,3,2,0
51,8.68,2,2,5,5,0
50,43.42,3,4,1,2,0
50,3.05,2,2,4,3,0
25,56.79,1,3,4,4,0
48,52.86,5,4,1,3,0
30,26.21,3,2,3,1,1
26,33.16,3,4,6,4,1
45,49.95,2,1,3,3,0
34,56.58,3,1,1,1,1
65,50.6,0,2,1,4,0
54,44.28,2,1,1,2,1
35,4.99,4,2,2,4,1
18,43.67,3,6,4,5,0
51,35.17,3,2,2,4,1
42,24.32,1,1,4,4,0
42,62.8,0,6,4,5,1
30,27.8,4,3,5,4,1
65,30.74,6,3,3,3,1
48,44.88,7,3,3,4,0
55,29.91,2,3,0,2,1
41,30.79,4,4,5,4,1
64,48.41,3,3,0,3,1
44,30.83,0,2,2,5,1
31,57.28,1,5,1,2,0
25,55.13,8,6,2,3,0
42,2.0,3,2,1,5,0
39,44.08,2,4,4,2,1
57,19.25,1,2,2,4,1
49,39.64,0,4,3,3,0
43,32.01,6,4,3,2,1
63,50.33,3,2,5,2,1
41,46.56,1,2,0,2,0
35,20.01,2,3,0,0,1
59,12.55,1,2,2,5,1
53,34.43,6,2,7,6,1
32,64.59,1,2,2,3,0
37,44.58,2,0,1,2,0
46,20.08,1,2,5,3,1
43,18.38,5,4,1,3,0
28,61.87,2,1,2,5,0
49,2.0,1,1,1,2,1
41,14.34,4,5,2,2,1
60,43.77,3,2,4,7,0
56,15.49,3,2,4,2,1
61,32.85,3,2,4,4,0
18,13.9,3,6,3,5,1
20,56.54,4,2,5,1,1
55,63.68,4,3,5,5,0
29,13.86,5,5,3,2,0
21,7.32,2,2,2,2,0
25,29.69,5,6,1,2,0
56,18.41,2,2,6,2,0
36,31.77,2,2,2,3,1
56,45.27,0,2,6,1,1
20,40.56,0,3,7,2,1
38,71.15,4,3,3,5,0
64,59.04,0,2,2,2,0
35,79.3,0,2,1,1,0
37,60.51,3,3,6,2,1
54,38.08,1,4,5,5,0
42,37.86,4,3,5,2,1
44,53.86,1,4,0,3,0
23,20.39,6,4,2,4,1
45,45.63,2,2,3,4,1
37,63.88,1,3,3,3,0
59,63.89,5,2,3,3,1
21,12.97,3,2,2,5,0
27,18.91,3,1,4,1,0
27,2.0,5,1,2,5,1
25,42.83,0,1,3,1,1
30,57.39,1,3,2,2,0
55,9.3,4,3,4,6,1
37,65.6,2,4,3,6,0
20,37.51,5,3,7,4,1
35,18.34,2,4,6,3,0
29,25.13,7,4,2,3,1
19,11.76,2,2,2,6,0
31,19.92,0,3,4,5,0
31,37.3,1,3,3,3,0
48,22.43,4,2,4,6,1
44,22.2,3,4,5,1,1
18,17.5,4,4,5,3,1
61,34.7,0,3,2,2,1
25,71.11,0,1,3,2,1
25,35.1,0,2,1,1,0
65,39.96,2,2,5,1,1
43,3.05,3,4,1,2,1
32,30.55,1,2,3,3,0
65,4.39,3,2,2,2,1
25,4.0,3,0,6,2,1
42,50.46,4,0,5,6,1
55,60.21,1,1,3,4,0
23,12.69,2,5,4,4,0
61,45.84,1,3,3,3,0
59,12.01,2,5,3,1,1
44,42.77,3,5,4,4,1
57,21.86,2,3,4,4,0
33,26.73,3,5,4,2,1
56,44.28,1,5,0,4,0
46,20.88,4,3,2,3,1
18,28.32,3,3,1,6,0
40,31.69,4,3,5,1,0
50,39.29,5,3,3,2,1
37,40.61,3,4,3,3,0
41,52.3,1,3,3,1,0
43,2.0,1,3,0,2,0
29,42.7,4,4,5,1,0
64,13.59,3,6,9,4,1
52,59.29,3,3,3,7,1
44,23.36,2,3,2,5,1
18,23.58,6,5,1,4,0
26,2.0,2,5,2,2,0
62,16.62,0,3,4,4,0
44,32.58,1,5,3,5,0
63,7.4,4,5,6,3,1
48,23.84,8,3,5,4,1
58,5.24,5,2,2,3,1
21,54.01,2,4,3,2,1
40,47.0,4,2,4,4,1
42,2.0,2,5,4,3,0
23,42.11,4,7,0,7,0
50,12.81,1,1,3,0,1
37,55.03,2,3,6,3,1
60,64.54,6,2,1,3,0
35,43.23,1,1,1,2,1
19,68.45,5,1,4,5,0
25,45.75,2,3,4,4,0
30,39.74,0,3,4,3,0
41,46.58,5,2,3,2,1
20,32.96,1,1,7,5,1
38,31.65,0,6,5,4,0
54,10.03,2,2,4,5,0
55,37.87,2,4,2,3,0
54,47.76,3,3,1,2,1
56,16.99,7,4,3,1,1
22,40.33,1,4,4,5,0
50,31.69,2,1,4,4,1
64,25.37,1,0,3,3,1
51,55.7,2,4,3,3,1
36,2.0,2,2,3,2,0
52,29.64,4,5,6,5,1
45,56.68,1,1,3,1,0
19,59.88,4,4,2,0,0
62,66.35,2,2,2,7,0
21,51.36,1,3,1,3,0
52,11.27,1,2,3,2,0
23,44.81,2,3,2,3,0
20,57.09,2,2,4,3,0
18,17.33,1,2,2,6,0
33,32.83,3,3,2,3,0
25,31.23,2,3,6,5,0
30,47.13,7,3,3,2,1
20,20.16,7,2,3,1,0
29,14.33,0,0,5,2,0
32,37.82,1,2,1,2,1
38,28.6,4,3,4,4,1
22,49.08,4,6,3,2,0
23,24.85,0,2,4,2,0
39,18.05,3,1,4,1,1
46,18.86,6,5,8,1,1
34,13.71,2,5,4,6,0
34,60.71,3,3,0,1,1
50,28.04,2,4,3,6,0
19,14.48,6,2,5,2,1
33,26.37,2,5,3,6,0
34,36.49,4,1,2,5,1
30,32.08,10,3,4,4,1
55,27.92,3,5,1,1,1
45,44.62,3,2,2,6,1
50,64.6,4,3,1,2,0
34,68.53,1,0,8,3,1
32,12.97,1,3,3,3,0
26,41.79,2,7,5,1,0
27,37.16,1,4,3,4,0
18,45.8,3,5,1,4,0
57,62.28,4,4,4,5,0
25,8.69,4,2,4,0,0
62,50.62,4,3,1,0,1
58,8.67,1,4,3,5,0
40,44.11,3,4,6,5,1
24,33.77,0,4,3,4,0
53,43.12,3,4,1,5,0
38,49.34,0,4,1,5,0
61,32.56,2,2,3,0,0
40,10.51,3,6,5,0,1
64,17.83,1,2,5,4,1
35,41.77,4,0,2,4,1
41,48.39,3,2,3,1,1
50,50.44,3,3,3,3,0
43,23.62,1,6,3,4,1
47,19.46,7,5,4,4,0
49,34.03,2,1,4,3,0
21,53.02,0,2,6,5,1
31,23.36,1,0,4,5,0
50,14.54,3,6,4,2,1
37,18.2,8,1,3,1,1
29,40.11,4,6,3,3,0
33,39.58,2,4,2,4,0
38,30.25,2,1,2,2,1
46,40.37,2,4,6,6,1
53,3.93,3,2,5,4,1
32,29.14,1,1,1,3,0
65,52.05,4,1,0,4,1
35,55.58,2,1,4,2,1
44,25.92,2,5,4,0,0
49,15.33,1,3,3,2,1
56,51.6,4,3,3,1,1
55,67.89,2,1,1,2,1
23,62.94,5,3,6,6,1
45,17.81,2,4,6,4,1
65,38.82,0,1,1,4,0
58,18.49,1,1,3,3,0
27,37.64,2,3,3,2,0
36,13.33,0,2,3,2,0
37,35.7,4,6,0,2,0
57,62.35,2,4,2,3,1
41,59.06,0,1,4,5,0
24,17.87,4,3,2,3,1
33,42.76,4,7,5,2,0
30,49.81,3,5,1,3,0
64,78.04,4,1,7,1,1
30,41.93,2,1,2,3,1
54,18.58,1,2,4,3,1
19,25.42,5,3,2,2,1
36,49.77,4,5,5,2,1
31,59.9,4,7,3,1,0
45,3.13,0,1,1,3,1
22,28.35,0,3,5,4,0
39,12.28,0,4,4,2,0
56,64.18,1,6,5,1,0
28,52.07,4,5,2,4,0
43,41.94,3,0,2,3,1
18,52.92,1,4,2,3,0
18,67.4,3,5,3,2,1
52,33.25,2,7,1,1,0
50,39.1,4,2,3,4,1
49,23.58,3,4,3,4,0
35,99.35,1,1,5,3,0
49,82.13,3,4,1,4,0
46,61.86,3,2,3,2,0
59,19.76,4,3,3,4,1
24,39.04,1,2,3,4,0
27,46.77,0,5,1,1,0
62,40.68,4,4,2,3,0
28,32.85,5,1,1,1,1
39,29.57,3,1,1,3,0
58,24.59,4,1,4,1,1
19,32.16,1,8,3,0,0
45,50.36,1,6,3,6,0
32,53.2,3,7,1,2,0
22,64.95,4,1,0,6,0
49,22.09,0,2,2,8,0
21,39.9,5,3,2,5,0
20,13.96,3,3,1,2,0
24,14.49,2,2,5,6,1
36,18.77,3,2,1,6,0
49,46.82,6,3,3,4,1
24,30.65,2,5,2,2,0
21,3.43,2,4,3,3,1
49,52.58,3,3,3,7,0
31,72.04,1,4,4,1,0
63,26.29,2,1,2,3,1
41,43.69,4,6,5,3,0
26,42.94,2,5,2,1,0
65,52.16,3,3,2,4,0
63,22.44,5,5,4,4,1
21,5.06,3,2,1,3,1
40,8.51,8,0,3,3,1
30,57.93,0,1,4,3,0
30,56.9,6,3,4,0,1
60,12.81,2,2,2,3,1
63,6.0,4,3,5,2,1
63,43.33,0,7,4,2,1
53,18.89,7,4,2,4,1
61,31.79,1,1,1,8,1
33,53.51,4,4,2,5,1
27,30.02,5,1,3,2,1
33,46.44,2,4,1,2,0
51,13.07,2,4,3,3,0
34,62.07,2,4,2,2,0
35,9.77,2,5,2,4,1
22,35.89,1,4,3,2,0
56,47.75,4,1,0,2,1
33,2.0,2,0,7,3,1
60,2.0,4,3,5,3,1
33,47.4,2,2,0,1,1
25,26.17,5,3,0,3,0
35,74.19,1,2,3,5,0
42,12.42,2,6,3,5,0
24,34.44,4,4,1,3,0
25,22.41,3,4,4,4,1
24,55.37,3,5,3,5,0
64,77.36,0,2,4,2,1
49,30.88,4,4,1,1,1
48,13.54,5,6,2,3,0
39,51.09,4,2,0,6,0
41,39.27,0,4,0,4,0
42,33.0,4,6,1,4,1
38,39.68,1,1,2,2,0
33,31.5,2,3,3,5,1
32,39.77,2,1,5,2,0
55,62.26,6,6,2,3,1
24,45.14,3,3,3,3,0
21,69.86,5,4,3,3,0
26,30.78,5,3,5,3,1
30,85.86,2,3,1,5,0
42,23.69,1,3,0,3,0
26,26.14,2,1,1,2,0
58,50.5,7,3,1,4,1
58,36.79,7,1,4,3,1
57,36.61,3,0,2,4,0
27,35.7,4,3,5,1,0
36,20.69,4,3,1,1,0
64,5.53,6,4,3,3,1
34,49.58,5,0,4,2,0
20,19.18,2,3,2,3,0
61,33.25,3,1,7,3,1
19,50.28,1,3,0,7,0
28,24.51,1,6,4,3,1
27,2.82,7,5,1,1,1
23,58.4,3,3,5,2,1
23,32.03,2,4,3,2,1
29,55.02,1,2,2,5,0
25,87.7,4,4,5,3,0
29,28.07,2,4,3,2,0
47,65.11,1,4,6,4,1
65,42.23,2,1,4,1,1
28,42.46,1,2,5,2,0
55,41.11,6,3,1,3,1
59,33.61,5,1,3,3,1
24,47.04,3,3,4,2,0
54,21.14,3,2,1,1,1
24,67.91,2,2,2,1,1
51,35.71,2,1,4,6,1
28,36.13,2,3,2,6,0
47,12.11,1,3,2,1,1
43,50.48,4,4,3,5,0
44,46.27,4,0,3,2,1
53,35.25,4,5,3,3,1
26,19.73,1,0,2,2,1
28,41.55,4,4,2,0,1
38,32.37,2,4,2,1,1
36,18.16,1,1,2,2,0
27,35.46,3,4,2,3,0
19,52.88,3,5,1,2,0
57,35.52,3,0,7,3,1
51,34.74,2,1,3,2,1
46,28.14,4,4,6,3,1
55,8.99,5,2,4,1,1
23,52.61,2,0,2,3,0
55,32.41,2,3,5,2,1
54,63.17,3,6,0,3,1
60,2.0,4,0,4,3,1
36,4.54,3,1,0,5,1
33,4.46,0,2,3,4,0
64,2.0,2,10,1,4,1
45,48.89,2,0,2,4,0
29,51.43,2,2,3,4,0
51,29.44,2,5,1,2,0
22,87.11,5,1,3,2,1
48,62.45,2,4,3,5,0
46,33.67,1,3,1,4,0
58,21.81,5,4,2,1,1
52,29.71,3,5,4,4,0
42,50.46,3,2,3,6,0
27,47.1,5,3,1,4,0
61,11.75,2,3,2,0,1
61,42.32,3,5,2,3,1
62,24.15,2,2,1,4,1
62,53.93,3,3,2,0,1
18,4.71,0,4,1,6,0
18,9.27,5,1,3,1,1
57,38.24,3,1,6,0,1
53,45.97,0,2,3,2,0
46,59.13,1,6,3,3,0
42,21.86,4,3,1,7,0
56,20.65,4,4,7,3,1
61,46.58,4,2,2,3,0
28,53.52,0,4,2,0,0
40,61.62,5,3,1,2,0
43,23.31,2,0,3,1,1
28,51.8,2,2,1,0,0
34,44.09,1,1,5,0,1
30,2.0,2,4,0,1,0
20,54.19,1,1,2,2,0
31,51.96,1,4,3,2,1
57,2.0,7,3,1,4,1
27,61.76,4,5,4,2,0
58,33.79,2,2,5,3,1
64,26.72,1,5,3,3,0
49,40.61,2,6,2,5,0
35,25.33,6,2,2,1,1
35,51.51,2,5,1,4,0
63,3.93,3,2,5,4,1
62,23.78,4,4,3,1,1
48,2.0,2,1,4,1,0
52,46.08,3,4,3,2,1
49,50.96,1,3,4,0,1
25,37.62,4,3,4,4,1
48,46.53,0,3,6,4,0
39,27.67,4,4,3,3,1
65,29.9,4,1,1,2,0
62,22.57,2,3,1,2,1
29,36.98,2,2,1,3,0
24,26.75,3,4,5,2,0
20,44.14,3,3,1,5,0
39,67.72,6,3,4,5,1
24,59.81,2,6,3,3,0
59,32.14,3,5,3,1,1
61,52.29,4,1,1,2,1
21,71.2,2,2,3,4,0
50,64.22,3,3,1,5,0
46,28.17,2,1,1,3,1
29,8.71,5,0,0,2,1
54,49.09,5,6,3,2,0
30,32.26,2,3,5,1,0
55,30.75,3,2,3,4,1
43,57.04,3,2,1,5,0
29,31.26,2,2,2,6,0
56,42.02,2,2,3,3,0
50,36.82,1,5,2,2,0
